Date,Venue Name,Venue Address,Show Time,,,
Aug 20th,Crackers Lounge,"1241 Blanding Blvd #43-44, Orange Park, FL 32065",7:00-10:00pm,,,
August 27th,Dantes Place Jax,"14965 Old St Augustine Rd, Jacksonville, FL 32258",8:00-11:00pm,,,
Sept 5th,Harps American Pub & Grill,"4070 Herschel St, Jacksonville, FL 32210",6-8,,,
Sept 6th,Donovan's Irish Pub,"7440 U.S. Rte 1 #108, St. Augustine, FL 32095",6:00-9:00pm,,,
Sept 18th,Mellow Mushroom Jacksonville - Town Center,"9734 Deer Lake Ct Ste 1, Jacksonville, FL 32246",9:00pm-12:00,,,
Sept 25th,Marlin & Barrel Distillery,"232 S 8th St, Fernandina Beach, FL 32034",5-8pm,,,
Oct 2nd,Mellow Mushroom Jacksonville - Town Center,"9734 Deer Lake Ct Ste 1, Jacksonville, FL 32246",9:00pm-12:00,,,
Oct 4th,Corner Pocket,"14 Magnolia Ave N, Green Cove Springs, FL 32043",7:00-10:00pm,,,
Oct 18th,Harps American Pub & Grill,"4070 Herschel St, Jacksonville, FL 32210",6-8,,,
Oct 23rd,Mellow Mushroom Jacksonville - Town Center,"9734 Deer Lake Ct Ste 1, Jacksonville, FL 32246",9:00pm-12:00,,,
Oct 24th,Angies Sub Shop,"299 Atlantic Blvd Suite#1, Atlantic Beach, FL 32233",8:30-11:30,,,
Oct 30th,Marlin & Barrel Distillery,"232 S 8th St, Fernandina Beach, FL 32034",5-8pm,,,
Nov 1st,Donovan's Irish Pub,"7440 U.S. Rte 1 #108, St. Augustine, FL 32095",6:00-9:00pm,,,
Nov 15th,Sandbar Amelia Island,"2910 Atlantic Ave, Fernandina Beach, FL 32034",6:00-9:00pm,,,
Nov 20th,Solune Coffee,"2650 Rosselle St #3B, Jacksonville, FL 32204",TBD,,,
Nov 21st,Sandbar Amelia Island,"2910 Atlantic Ave, Fernandina Beach, FL 32034",12:00-3:00pm,,,